AgeGroups,ferfiak,nok
"(0, 5]",0,0
"(5, 10]",0,0
"(10, 15]",0,0
"(15, 20]",176182,-150731
"(20, 25]",306990,-243961
"(25, 30]",371217,-352227
"(30, 35]",385114,-351873
"(35, 40]",340048,-372494
"(40, 45]",336479,-354008
"(45, 50]",365693,-384304
"(50, 55]",348750,-381088
"(55, 60]",310893,-367627
"(60, 65]",367523,-448216
"(65, 70]",433325,-528544
"(70, 75]",379512,-422740
"(75, 80]",225596,-260416
"(80, 85]",106487,-210518
"(85, 90]",95942,-172655
"(90, 95]",74468,-159215
"(95, 100]",43776,-106183
